
METHOD PostCard
Start,Duration,IsError
1748959668109584790,2896775,false
1748959668228765788,2806174,false
1748959678809629264,2080645,false
1748959679059331767,1882734,false
1748959681758572975,1765404,false
1748959682919006380,2125548,false
1748959693128665280,2045975,false
1748959694199314884,2264829,false
1748959697001334044,2102425,false
1748959703045156190,1951731,false
1748959703611964678,1823730,false
1748959710366320701,1968168,false
1748959711598390498,2060908,false
1748959714034736482,2419056,false
1748959718819692114,1897508,false
1748959722413224870,2087047,false
1748959725714167264,2191815,false
1748959727799790433,2088848,false
1748959728391959266,1975691,false
1748959733407683160,1946365,false
1748959734356082610,2035058,false
1748959734646372385,1875731,false
1748959738423887684,2016334,false
1748959738788028592,1869104,false
1748959742460902985,1928037,false
1748959743136225839,2471699,false
1748959749742879990,2041775,false
1748959749910943405,1830634,false
1748959753900756792,1986191,false
1748959760690316434,1890000,false
1748959766307932408,2146355,false
1748959770119590891,2248099,false
1748959771403442036,1819013,false
1748959772681950920,2127388,false
1748959776619554848,2077871,false
1748959777176883235,1977284,false
1748959777832617214,1966861,false
1748959784608022764,2028098,false
1748959785948259446,2039625,false
1748959790886620981,1937311,false
1748959795634520898,2019982,false
1748959800064732927,2163675,false
1748959800385764398,1852924,false
1748959802774242513,2070051,false
1748959803556212396,2111945,false
1748959807922463034,2137205,false
1748959809953842674,2219519,false
1748959820065527708,2150535,false
1748959826749240440,1924237,false
1748959828313881505,2068855,false
1748959831936453424,2126962,false
1748959834142596450,2229486,false
1748959835157343089,2416352,false
1748959837339041020,2067759,false
1748959844786652994,1871384,false
1748959849407539672,2005114,false
1748959851445749171,2120758,false
1748959854296555210,2372379,false
1748959856123804485,1782921,false
1748959856770021749,1917951,false
1748959861016173665,1941600,false
1748959865387699831,2158745,false
1748959868493355999,2047188,false
1748959870062079977,2132609,false
1748959871899311678,1975855,false
1748959887480672499,2379400,false
1748959896761858342,2014301,false
1748959898530777643,1938740,false
1748959901761364759,2219912,false
1748959902282177468,2063544,false
1748959906904554886,2029305,false
1748959914085171082,2249455,false
1748959916350570473,2031238,false
1748959919114364564,1984905,false
1748959928480583108,2192038,false
1748959930657470207,1854487,false
1748959937316205069,2040168,false
1748959939744650832,2035048,false
1748959944157413698,1992881,false
1748959954001163883,2309024,false
1748959954496606610,2007324,false
1748959955193135227,2104455,false
1748959955765505030,1785483,false
1748959961257687056,2068758,false
1748959961896423114,1821180,false
METHOD GetCart
Start,Duration,IsError
1748959668169581984,1332587983,false
1748959668048045937,1454805427,false
1748959668547754034,958536005,false
1748959669090162573,455470989,false
1748959669205485870,341382686,false
1748959669322833163,224349671,false
1748959670635489764,920259487,false
1748959671411401178,151903970,false
1748959672030934998,1200004,false
1748959672146478598,1143811,false
1748959672524706310,1247619,false
1748959672705401604,2868803369,false
1748959673205860864,2376447315,false
1748959673913643144,1673885294,false
1748959674272670973,1315705227,false
1748959674399004769,1190287443,false
1748959675083978447,507909613,false
1748959675843717901,1249948,false
1748959676999378990,1230248,false
1748959677130140526,1417936,false
1748959677394490169,1134158,false
1748959677884490118,1116458,false
1748959677997778973,1146531,false
1748959678515767985,1148385,false
1748959678989005430,1173311,false
1748959680747930101,1159378,false
1748959680808230886,1151018,false
1748959681636656317,1333548,false
1748959682158136161,1186098,false
1748959682719601698,1419283,false
1748959683502369849,1134755,false
1748959683565660349,1239848,false
1748959683871647792,1273231,false
1748959684070700477,1611320,false
1748959684394631736,1227122,false
1748959684514177979,1235522,false
1748959684942411554,1191101,false
1748959685600990565,1239505,false
1748959686424148098,1230812,false
1748959686496520583,1201949,false
1748959686992541373,1230761,false
1748959687380762462,1291392,false
1748959687621802458,1256915,false
1748959687925504777,1155135,false
1748959688185978822,1209438,false
1748959688326546883,1227225,false
1748959688924824297,1182965,false
1748959689482588247,1236795,false
1748959689667202995,1177978,false
1748959690107717894,1309685,false
1748959690562166985,1223778,false
1748959690628557127,1176025,false
1748959690817571386,1255325,false
1748959690957792170,1303011,false
1748959691025243092,1229258,false
1748959691747802101,1256205,false
1748959691875574105,1236345,false
1748959692987018192,1207238,false
1748959693646364284,1191241,false
1748959694514300871,1258411,false
1748959695435848489,1206991,false
1748959696231466882,1232178,false
1748959696746392162,1203048,false
1748959696800738200,1196011,false
1748959697056774807,1285115,false
1748959698493364399,1263405,false
1748959698640201274,1231435,false
1748959698703584118,1222642,false
1748959699009512273,1331342,false
1748959699785754254,1211352,false
1748959700111994232,1149085,false
1748959700176228906,1185495,false
1748959700680698887,1180801,false
1748959700802435989,1245078,false
1748959701550684441,1378913,false
1748959702428295437,1201004,false
1748959702602423416,1262425,false
1748959703292398607,1274762,false
1748959703746417569,1257055,false
1748959704623056234,1237219,false
1748959705338235293,1291289,false
