
METHOD NewOrder
Start,Duration,IsError
1748960543566625154,7806134644,false
1748960545052116562,6320646071,false
1748960543973682945,7399106876,false
1748960544831020023,6542089924,false
1748960544004846215,7368549492,false
1748960546083465408,5292046696,true
1748960546401975157,4980321971,false
1748960546472289353,4910463654,false
1748960546621089437,4762609562,true
1748960546878216522,4509891367,false
1748960547494691769,3902505138,false
1748960548424995876,2983438535,false
1748960548894268316,2521440581,false
1748960549473333402,1952900431,false
1748960550173746242,1267403665,false
1748960550362659510,1083996965,false
1748960550519373212,928601907,true
1748960550753475102,703170974,false
1748960551509046657,4084233,false
1748960552561747076,4382061,false
1748960553262348026,4300494,false
1748960545246081063,8096307256,false
1748960545406943869,7935632896,false
1748960544894344631,8448330719,false
1748960544709378024,8633335018,false
1748960545900454191,7442645841,false
1748960553664699587,4262044,false
1748960554161729495,4412208,false
1748960554373956312,4138643,false
1748960554503925968,3929552,false
1748960554823914613,3922736,false
1748960554949387589,3893646,false
1748960555051252960,2091052,true
1748960555319932638,4130751,false
1748960555420106726,3997184,false
1748960555449167978,1886808,true
1748960555647332001,3854162,false
1748960555904846231,3904568,false
1748960556029675354,3893772,false
1748960556490518155,4436180,false
1748960556736844874,4039867,false
1748960556771937793,1796381,true
1748960556925332169,1785931,true
1748960557227229548,5222627,false
1748960557500532351,3903164,false
1748960557605776039,1951285,true
1748960558765666290,4596988,false
1748960558827568793,1877644,true
1748960558986903786,4975593,false
1748960559017892995,1839914,true
1748960559855362831,4455234,false
1748960560167015815,4674178,false
1748960560225973706,2040495,true
1748960560938976174,5639050,false
1748960561444922051,4446328,false
1748960561989585642,4419561,false
1748960562111619815,4346373,false
1748960562177650989,2029445,true
1748960562466216093,4007032,false
1748960563279639080,4371458,false
1748960563376672192,3898806,false
1748960564140067752,5119621,false
1748960564276146943,4197863,false
1748960564636804539,1866354,true
1748960564702093455,4258257,false
1748960564964760508,4093620,false
1748960565147600301,4143327,false
1748960565749372583,4446420,false
1748960565979618173,4177160,false
1748960566128303267,4500478,false
1748960566351945525,4019260,false
1748960567301051672,4343586,false
1748960567556202136,4399996,false
1748960567715179231,4191273,false
1748960567895423701,4232597,false
1748960568182750777,4307547,false
1748960568768978830,4497001,false
1748960568987812495,4087036,false
1748960569507905605,4447820,false
1748960569710690743,4244114,false
1748960569864830439,4189967,false
1748960569928438339,4234153,false
1748960570055687768,4702642,false
1748960570440904455,4889900,false
1748960570783823845,4387374,false
1748960571080636542,4630888,false
1748960571292729986,1989029,true
1748960571515635281,4339261,false
1748960571581165534,4132747,false
1748960572021002662,4605050,false
1748960572114704268,4157663,false
1748960572231289777,4089823,false
1748960572557910954,4109687,false
1748960572613263181,4062989,false
1748960572653390238,1892088,true
1748960573215564084,4597901,false
1748960573638013653,4434991,false
1748960574321695678,4617062,false
1748960574494063529,4655412,false
1748960575079610627,4594901,false
1748960575210550152,4415674,false
1748960575643981740,4577929,false
1748960576254118852,4646008,false
1748960576349415517,2021405,true
1748960576657413240,5520532,false
1748960577373975764,4711442,false
1748960577404729153,2048788,true
1748960577617004803,4885553,false
1748960578182541700,4698142,false
1748960578400051175,4435971,false
1748960578519812141,5510118,false
1748960578581156624,2103897,true
1748960579864821961,4749446,false
1748960580036973885,4989670,false
1748960580368267951,4511568,false
1748960580550905171,4660638,false
1748960580613679380,2170202,true
1748960581519825170,4716425,false
1748960581547579686,2237699,true
1748960581701643172,2089691,true
1748960581762047592,2179081,true
1748960582087184160,4806582,false
1748960582181213320,2250022,true
1748960582279149217,4357867,false
1748960582402185686,4285784,false
1748960582430524138,2054098,true
1748960582458727276,2142879,true
1748960582994115724,4498788,false
1748960583115464199,4634635,false
1748960583250095324,4340681,false
1748960583311968927,4067201,false
1748960583654320770,4312214,false
1748960584697293633,4795719,false
1748960585209376224,4902113,false
1748960585238306706,2400384,true
1748960585499941561,4507698,false
1748960586369901213,5034857,false
1748960586805972606,4876762,false
1748960587123124369,4697352,false
1748960587941796118,4548274,false
1748960587970558158,2162898,true
1748960588692054650,5003034,false
1748960589330866576,4930126,false
1748960589361841312,1917757,true
1748960589798808277,4525658,false
1748960590296545643,5075037,false
1748960590413800262,2130605,true
1748960590863825110,5232937,false
1748960591140860141,4623659,false
1748960591475612065,4777879,false
1748960591973712430,4670519,false
1748960592852208841,4916326,false
1748960594290361528,5209144,false
1748960594410644535,4785556,false
1748960594440465320,2339076,true
1748960594731003455,4893002,false
1748960594758939112,3241246,true
1748960594887781478,2231793,true
1748960595083542028,5814203,false
1748960595407243024,5078970,false
1748960595619680561,4528202,false
1748960596002851370,4655042,false
1748960596039540616,2181302,true
1748960596379423426,4666663,false
1748960597093357815,4916869,false
1748960597187391809,2659797,true
1748960597372868852,2304292,true
1748960597476019808,2316503,true
1748960597947561685,5049203,false
1748960598328513591,4931010,false
1748960598614683885,4677569,false
1748960598858356420,4650225,false
1748960598993944889,4429524,false
1748960599080940675,4657736,false
1748960599136299534,2245086,true
1748960599393201279,5343758,false
1748960599563999898,2338673,true
1748960599657108281,2377676,true
1748960599810384450,4773432,false
1748960600156552476,4980213,false
1748960600282083121,4719257,false
1748960600401205045,4520198,false
1748960600473340579,5541165,false
1748960600817757095,5016297,false
1748960601136211967,4972163,false
1748960601654225433,5029339,false
1748960602271514521,5195751,false
1748960603098376501,5131460,false
1748960603536287021,5274674,false
1748960603822502824,4843747,false
1748960604236289719,4942992,false
1748960604343585088,5213129,false
1748960604559244471,4640159,false
1748960604587945028,3499351,true
1748960604619500367,3081123,true
1748960604682340293,2471020,true
1748960604711956574,2423070,true
1748960604800332819,2338656,true
1748960605309623085,5232734,false
1748960605794704273,4953963,false
1748960605978632617,4744045,false
1748960606887519206,5218777,false
1748960607657768292,4903667,false
1748960608131091620,4953603,false
1748960608167090037,2227395,true
1748960608311711975,4853329,false
1748960608374053939,2601474,true
1748960608578478748,5068473,false
1748960608722973438,4868851,false
1748960609702223109,5089337,false
1748960609981845076,4847036,false
1748960610361534128,5290608,false
1748960610457192888,2883348,true
1748960610552410567,2680588,true
1748960610612313545,2364249,true
1748960610887992296,4962220,false
1748960611115135249,5096457,false
1748960611354823604,2440966,true
1748960611512555004,4778156,false
1748960611576503765,2328809,true
1748960612335576002,5366521,false
1748960612465325787,4827606,false
1748960612623958757,2471479,true
1748960612765815157,5073397,false
1748960613169406974,5138524,false
1748960614131560146,5200964,false
1748960614229649290,2382606,true
1748960614773415499,4822469,false
1748960615142642646,5368824,false
1748960615261832779,4729422,false
1748960615565557322,5141378,false
1748960615938535628,5086987,false
1748960616157166267,5081384,false
1748960616426260669,5281677,false
1748960616554680736,4930416,false
1748960617067557496,5203804,false
1748960617097795773,2643154,true
1748960617780214819,5183887,false
1748960618088165506,5227584,false
1748960618150041376,2559993,true
1748960618364891726,2465353,true
1748960618449409705,3292833,true
1748960618474851736,2418506,true
1748960618664701266,3417944,true
1748960618695290438,2423934,true
1748960618727856987,2368742,true
1748960619538183569,5246854,false
1748960619671598002,5430652,false
1748960619732372414,3372472,true
1748960619867890415,4997633,false
1748960620378560183,5841164,false
1748960620440993132,2412342,true
1748960620561778665,4978230,false
1748960620627887457,2439494,true
1748960620760464951,5879457,false
1748960620822565958,2428116,true
1748960620920098122,4936702,false
1748960621491504922,5162707,false
1748960621650433748,4802637,false
1748960621996655812,5129791,false
1748960622090732233,5181192,false
1748960622218077862,4902116,false
1748960622280829554,2477024,true
1748960622312422297,2365673,true
1748960622545917264,5041217,false
1748960622818584031,4937606,false
1748960623103497296,4909353,false
1748960623381855028,4975250,false
1748960623659454835,4762589,false
1748960623917562983,5436764,false
1748960624293197396,6772330,false
1748960624932357126,5109031,false
1748960625028025483,3194813,true
1748960625063284367,2555763,true
1748960625297384263,5108498,false
1748960625382917766,3226980,true
1748960626533778758,5549125,false
1748960626590527757,2533666,true
1748960626990422218,5265115,false
1748960627501110110,5148444,false
1748960627966639072,5040773,false
1748960628214991336,5086850,false
1748960628587956557,5783715,false
1748960628817194920,5300190,false
1748960628940743134,2578100,true
