
METHOD NewOrder
Start,Duration,IsError
1748997273622062150,38365790,false
1748997273655827126,5016513,true
1748997273633845751,33017688,false
1748997273648538454,19421949,false
1748997273679338375,5239538,false
1748997273694121767,4797645,false
1748997273710519970,5259183,false
1748997273757371344,5027156,false
1748997273765441454,1939174,true
1748997273823104850,5723914,false
1748997273854861919,5269398,false
1748997273932712511,6165006,false
1748997273940917524,1980930,true
1748997273971625030,5751279,false
1748997273987916057,4703320,false
1748997274012165413,5205547,false
1748997274026872086,5472012,false
1748997274067177728,4790498,false
1748997274075021700,1992389,true
1748997274101005259,4973397,false
1748997274115740162,4748733,false
1748997274131010038,5474462,false
1748997274161886498,4917276,false
1748997274177227224,4616878,false
1748997274238900856,4997785,false
1748997274260982239,4822777,false
1748997274284845434,5860271,false
1748997274306995212,5083974,false
1748997274340927048,4981555,false
1748997274347877905,2023654,true
1748997274357049970,2001030,true
1748997274364193322,2130126,true
1748997274381943028,5963671,false
1748997274397099680,6584367,false
1748997274418961441,4844337,false
1748997274474963305,5849981,false
1748997274483970212,2007100,true
1748997274504831307,4827417,false
1748997274584523646,4728979,false
1748997274599671498,4540658,false
1748997274607247790,1953461,true
1748997274614367726,1817525,true
1748997274637336105,5931960,false
1748997274668281156,5134868,false
1748997274675464400,1891571,true
1748997274698014638,5023430,false
1748997274715450669,4769299,false
1748997274729784161,4819003,false
1748997274752650701,4996111,false
1748997274768212453,4754452,false
1748997274831349463,5339065,false
1748997274869944981,4760997,false
1748997274939618766,5048134,false
1748997274962373542,4709504,false
1748997274987798482,4711651,false
1748997275001768663,5206211,false
1748997275017228775,5106178,false
1748997275024373939,1948362,true
1748997275032457359,1900305,true
1748997275047897335,4890909,false
1748997275061222990,6596800,false
1748997275131967366,4952965,false
1748997275146617295,4715725,false
1748997275169906954,5962253,false
1748997275235115344,5201639,false
1748997275307400580,4886787,false
1748997275330688175,4663000,false
1748997275354919994,4754814,false
1748997275378866489,6190101,false
1748997275384943390,2248723,true
1748997275394233508,1928805,true
1748997275412996981,4741550,false
1748997275427959809,5627745,false
1748997275444064485,4727676,false
1748997275451769107,1874396,true
1748997275460800000,1957798,true
1748997275530457775,5113971,false
1748997275543984721,4364163,false
1748997275624981767,5098277,false
1748997275641537287,5681211,false
1748997275683147287,4817292,false
1748997275745753919,5006244,false
1748997275791050251,5370344,false
1748997275799457910,1827352,true
1748997275825315841,4639928,false
1748997275848983917,4778772,false
1748997275856816740,1879606,true
1748997275873294584,4887280,false
1748997275881181237,1863320,true
1748997275904526552,4928631,false
1748997275935368031,4853344,false
1748997275951473652,4875007,false
1748997275958375643,1996593,true
1748997276047397609,6163229,false
1748997276062919653,4468183,false
1748997276079640191,5700813,false
1748997276126810994,4763091,false
1748997276179761246,4998583,false
1748997276221927930,4613804,false
1748997276239886186,5119692,false
1748997276304731857,5175924,false
1748997276357776562,5046327,false
1748997276365937590,1924590,true
1748997276390018707,5159901,false
1748997276413596570,4800674,false
1748997276437351064,4870539,false
1748997276445259194,1949126,true
1748997276470411966,4847396,false
1748997276500664683,5781688,false
1748997276509510639,2087219,true
1748997276527224848,5354346,false
1748997276553460649,4916193,false
1748997276560422628,2017593,true
1748997276568492380,1925045,true
1748997276593541521,5723361,false
1748997276610330638,4675746,false
1748997276619097177,1949855,true
1748997276626119450,2030902,true
1748997276675773352,4747194,false
1748997276683550531,2008051,true
1748997276707816417,4701259,false
1748997276739629127,4879710,false
1748997276754955310,4624566,false
1748997276762573871,2009222,true
1748997276771655341,1869290,true
1748997276806470457,6867602,false
1748997276829544215,5133151,false
1748997276886855586,4989670,false
1748997276910857761,4985353,false
1748997276932933058,5584753,false
1748997276940571925,1918752,true
1748997276948554435,1959215,true
1748997276956660128,2004333,true
1748997276963698231,1854292,true
1748997276986622501,5585555,false
1748997276995232942,2608100,true
1748997277002967135,2749866,true
1748997277011852294,1914264,true
1748997277032147469,5766451,false
1748997277070685144,4932584,false
1748997277109225902,4841930,false
1748997277139043844,5145395,false
1748997277165780853,4942498,false
1748997277173767571,1864505,true
1748997277186210347,4833117,false
1748997277218646770,5570225,false
1748997277244312801,5015563,false
1748997277281546437,5212415,false
1748997277290794132,1935973,true
1748997277305547475,4865432,false
1748997277362491074,4953676,false
1748997277371483944,1915443,true
1748997277410327160,5172759,false
1748997277441384974,4995693,false
1748997277455687964,4717042,false
1748997277462456319,1881607,true
1748997277470460946,1898223,true
1748997277510226198,4974364,false
1748997277518217602,1796660,true
1748997277550907676,7344839,false
1748997277567316909,4860661,false
1748997277601344691,5027584,false
1748997277705251606,4852043,false
1748997277727981166,4964962,false
1748997277734995811,1984128,true
1748997277743050351,1900313,true
1748997277758129251,4613121,false
1748997277806094392,5252558,false
1748997277812305864,2030212,true
1748997277820390740,1829560,true
1748997277868905799,4915518,false
1748997277900353485,4807853,false
1748997277945820500,5387560,false
1748997277976564369,5878836,false
1748997277998653276,5082218,false
1748997278006774611,1985377,true
1748997278029891241,5166758,false
1748997278046488295,4920525,false
1748997278062704054,4360311,false
1748997278117168291,5042797,false
1748997278125248680,1999126,true
1748997278218868903,5148546,false
1748997278252650048,4954416,false
1748997278261652145,1874982,true
1748997278284571399,4961003,false
1748997278291581460,3671181,true
1748997278307858580,4959777,false
1748997278349421837,5830363,false
1748997278380829522,5532449,false
1748997278404599887,4951248,false
1748997278413566099,2079032,true
1748997278434686630,4792620,false
1748997278490835759,5039884,false
1748997278583491558,5385577,false
1748997278599289832,4827443,false
1748997278608193807,1925508,true
1748997278703739406,4933724,false
1748997278711704625,2045450,true
1748997278718887415,1971708,true
1748997278728015929,2042024,true
1748997278798961092,5770646,false
1748997278825002519,4898443,false
1748997278832931506,1915381,true
1748997278839852359,1858600,true
1748997278855218702,4789718,false
1748997278864061769,2638995,true
1748997278871803640,2730877,true
1748997278887018016,4781463,false
1748997278914317184,4969277,false
1748997278923296425,1913434,true
1748997278939169916,4912665,false
1748997278948156970,1835310,true
1748997278954050567,2710232,true
1748997278960836104,1956785,true
1748997278976375875,5702346,false
1748997279005094855,4914027,false
1748997279028079816,5904817,false
1748997279050359944,4737523,false
1748997279067218769,5042824,false
1748997279115141595,4863021,false
1748997279123015245,2950090,true
1748997279177108386,4952725,false
1748997279185101681,2147779,true
1748997279192371744,1777758,true
1748997279201288807,1941836,true
1748997279249236041,5316088,false
1748997279258585119,2017966,true
1748997279295784791,5108101,false
1748997279329504736,5088514,false
1748997279352018139,5016113,false
1748997279419334806,5047834,false
1748997279427431307,1840766,true
1748997279442770096,5289411,false
1748997279450075837,1864336,true
1748997279459075507,2765576,true
1748997279543485964,5202486,false
1748997279550712132,1964553,true
1748997279581702497,5938750,false
1748997279588623668,1959216,true
1748997279619386931,5780897,false
1748997279652647843,5054971,false
1748997279676080576,4864956,false
1748997279692426220,4845349,false
1748997279707599738,4713536,false
1748997279737573831,4928741,false
1748997279770211955,4637956,false
1748997279809695019,5749515,false
1748997279825880805,4720451,false
1748997279841162162,4411113,false
1748997279903616123,4831894,false
1748997279911499287,1925485,true
1748997279933154277,5175146,false
1748997279948694974,5755039,false
1748997279956492319,1902438,true
1748997279994737579,4766071,false
1748997280011045467,4768532,false
1748997280017869097,1908236,true
1748997280031428113,4971839,false
1748997280055499728,4728025,false
1748997280070620530,4882020,false
1748997280140672289,4783275,false
1748997280157781499,6055479,false
1748997280182877895,4705638,false
1748997280191634118,1922148,true
1748997280207044289,4726358,false
1748997280229877528,4894181,false
1748997280246007380,4668997,false
1748997280278309139,4785636,false
1748997280318224172,4938563,false
1748997280374521876,4897422,false
1748997280382471393,1961216,true
1748997280396929021,5453016,false
1748997280404436945,1983886,true
1748997280412482578,2865087,true
1748997280426092534,4502638,false
1748997280459768211,4719003,false
1748997280467536549,1907520,true
1748997280490115561,4794214,false
1748997280534282443,5028877,false
1748997280571767496,5936159,false
1748997280587190391,4537688,false
1748997280603184144,5327865,false
1748997280643083741,4968734,false
1748997280659451626,4863570,false
1748997280690653842,4835017,false
1748997280768895092,4876526,false
1748997280792213591,5015920,false
1748997280821552531,4872209,false
1748997280880063046,5848099,false
1748997280887956172,2055328,true
1748997280903669153,4748460,false
1748997280917069465,5500502,false
1748997280927686572,1877744,true
1748997280951847913,5000646,false
1748997280986623606,5041499,false
1748997281010930898,4752753,false
1748997281050704688,4897500,false
1748997281059664073,1898622,true
1748997281067713068,3047111,true
1748997281083187670,4822467,false
1748997281099562881,5607921,false
1748997281124389339,5376913,false
1748997281140208332,4629168,false
1748997281163507213,4785782,false
1748997281173323825,1821975,true
1748997281214198690,4841706,false
1748997281231465594,4818503,false
1748997281276622968,4884847,false
1748997281329311800,5059075,false
1748997281344632013,4831610,false
1748997281387557779,4657184,false
1748997281403217930,4549201,false
1748997281466768849,5824467,false
1748997281491298050,4911754,false
1748997281507551080,4619021,false
1748997281525543823,4868540,false
1748997281533452319,1948472,true
1748997281566219216,5858881,false
1748997281583457457,4481725,false
1748997281674535226,4847806,false
1748997281682432648,2046419,true
1748997281690625989,1986937,true
1748997281733214092,5230568,false
1748997281748831246,4591782,false
1748997281764935465,4528836,false
1748997281827665585,4815053,false
1748997281841122029,5281654,false
1748997281851452761,1965658,true
1748997281875014979,5895274,false
1748997281898779270,4815713,false
1748997281928183671,4954917,false
1748997281936187726,1824888,true
1748997281944072302,1960978,true
1748997281960440797,4560219,false
1748997281967046644,2839726,true
1748997281996099123,5539857,false
1748997282021188374,5176897,false
1748997282071038971,5392543,false
1748997282107158855,4817627,false
1748997282115008971,1929638,true
1748997282124001950,1975792,true
1748997282161511375,4945764,false
1748997282168507283,1976928,true
1748997282286221990,5425449,false
1748997282301016674,5522121,false
1748997282309604335,2468673,true
1748997282332381459,5091980,false
1748997282354522158,4885559,false
1748997282363393869,1950628,true
1748997282386321180,4719131,false
1748997282394071702,2797537,true
1748997282409256361,4703994,false
1748997282418024550,1899331,true
1748997282425975812,2896797,true
1748997282460486780,5643900,false
1748997282468172576,1914258,true
1748997282492239709,4947207,false
1748997282498220385,2624938,true
1748997282506990527,1844340,true
1748997282513895915,2081741,true
1748997282536941227,5561473,false
1748997282561622837,5077704,false
1748997282586343085,5619354,false
1748997282622038289,5352364,false
1748997282730373974,5025644,false
1748997282773310773,5692914,false
1748997282782042764,1926178,true
1748997282796516628,4731089,false
1748997282805306780,1869692,true
1748997282833383071,5749399,false
1748997282848657551,4747538,false
1748997282855476425,1912405,true
1748997282861536144,1928158,true
1748997282901223599,4905885,false
1748997282916796196,4556715,false
1748997282926411059,1916818,true
1748997282949090675,4945687,false
1748997282956086130,2766945,true
1748997282973639452,4911696,false
1748997282987138380,5530428,false
1748997283049657713,6116515,false
1748997283057803267,1892116,true
1748997283073010332,5170805,false
1748997283119386371,5127094,false
1748997283135713242,4727720,false
1748997283143489343,1971367,true
1748997283150602842,1876974,true
1748997283167056826,5142164,false
1748997283174225162,2725352,true
1748997283189308505,4948101,false
1748997283204847054,5879201,false
1748997283285534554,4805595,false
1748997283309430529,5075954,false
1748997283333505775,5130401,false
1748997283364182106,5425387,false
1748997283371642888,1979798,true
1748997283378683502,1717737,true
1748997283438576047,4957922,false
1748997283452889305,4980938,false
1748997283459910429,1952043,true
1748997283475676512,4807891,false
1748997283505878312,4859027,false
1748997283512746690,1905465,true
1748997283520759943,1818280,true
1748997283542478948,5781887,false
1748997283576708688,4988327,false
1748997283592132158,4705834,false
1748997283599897890,1960179,true
1748997283622579199,4765695,false
1748997283638627822,4684369,false
1748997283677416803,4756640,false
1748997283693440335,4593860,false
1748997283714515082,5895224,false
1748997283729309626,4481050,false
1748997283753955050,4868156,false
1748997283760793908,2002755,true
1748997283785505830,4693428,false
1748997283793235507,2778057,true
1748997283883825780,5070736,false
1748997283904380238,4766734,false
1748997283937730718,5129592,false
1748997283955415072,4824822,false
1748997284005080301,5175531,false
1748997284042040509,5151590,false
1748997284050238395,1872145,true
1748997284066430228,5519996,false
1748997284074008616,1941883,true
1748997284114205613,5001685,false
1748997284139110112,4850069,false
1748997284146012055,2028765,true
1748997284153108276,1881443,true
1748997284183175415,5760037,false
1748997284257528248,5129632,false
1748997284267746576,1953986,true
1748997284290916996,4824023,false
1748997284356473204,5045248,false
1748997284395355833,4846613,false
1748997284403234574,1940876,true
1748997284417684661,5501204,false
1748997284425298742,1774729,true
1748997284465502664,4852372,false
1748997284496980445,4861848,false
1748997284513911428,4772316,false
1748997284545187556,4779141,false
1748997284552022470,2020902,true
1748997284664265859,5520280,false
1748997284688883297,5105540,false
1748997284717729841,5233028,false
1748997284749066433,4785375,false
1748997284756924655,2088161,true
1748997284764106075,1782932,true
1748997284771948415,2592258,true
1748997284834827287,5068292,false
1748997284858430850,4945022,false
1748997284865430065,1915486,true
1748997284903916049,5401578,false
1748997284927957231,4784390,false
1748997284936772614,2647049,true
1748997284945488899,2022619,true
1748997284961228647,4520847,false
1748997284969847896,2820443,true
1748997284999370723,6265409,false
1748997285034712711,5958864,false
1748997285071569108,5016154,false
1748997285096367160,4778620,false
1748997285104198235,1851449,true
1748997285134915354,5816664,false
1748997285144822925,1971183,true
1748997285159169967,4675963,false
1748997285166885460,1858628,true
1748997285213929052,4957560,false
1748997285227263198,4565168,false
1748997285251875103,4966510,false
1748997285288559106,4900758,false
1748997285337373415,4991289,false
1748997285343351610,1924474,true
1748997285367161579,5593082,false
1748997285398860293,4860990,false
1748997285456836437,4846546,false
1748997285479547551,5005173,false
1748997285487609763,2117438,true
1748997285549455833,5198145,false
1748997285565112139,4686374,false
1748997285596548109,4793432,false
1748997285603389955,1804562,true
1748997285609241841,1839815,true
1748997285633028854,5689370,false
1748997285718520741,4981187,false
1748997285727547584,1967543,true
1748997285757111442,5684690,false
1748997285771105637,4617778,false
1748997285817776897,4755905,false
1748997285833364831,4806767,false
1748997285923395072,5082790,false
1748997285953987197,5574502,false
1748997285976740213,4877942,false
1748997285993960797,5048091,false
1748997286155436761,5258110,false
1748997286187111307,4893703,false
1748997286226747559,4850267,false
1748997286248878593,4846487,false
1748997286304026725,4841137,false
1748997286322141779,4907108,false
1748997286329094771,1951918,true
1748997286336091290,1859847,true
1748997286366304257,5827186,false
1748997286374219252,1855217,true
1748997286430374472,5516342,false
1748997286447003093,4740446,false
1748997286453776346,1882483,true
1748997286462143839,1921268,true
1748997286476867735,4582519,false
1748997286485482750,2495490,true
1748997286502643211,4897955,false
1748997286527516486,4720171,false
1748997286534337738,1956233,true
1748997286542338117,1841317,true
1748997286558842741,4960552,false
1748997286568865785,2790430,true
1748997286575739367,2701976,true
1748997286583505056,1856518,true
1748997286590432896,1977179,true
1748997286615781364,5514844,false
1748997286640101290,4977411,false
1748997286661180506,4893087,false
1748997286669147931,1800488,true
1748997286695822333,4710260,false
1748997286743261685,6099129,false
1748997286750345543,2336722,true
1748997286765171195,4915921,false
1748997286774140961,1950667,true
1748997286812716894,5000996,false
1748997286835393638,4800197,false
1748997286850674529,4774231,false
1748997286858488787,1957881,true
1748997286905173867,4994844,false
1748997286928140185,4905326,false
1748997286943456837,4449291,false
1748997287030307112,5121628,false
1748997287037471172,1936896,true
1748997287044410143,1880375,true
1748997287052342381,1945736,true
1748997287060429025,2037156,true
1748997287074946261,5656939,false
1748997287098766622,4696408,false
1748997287107597181,1879886,true
1748997287133003072,5934583,false
1748997287155445620,4936014,false
1748997287242412563,5016625,false
1748997287250486240,1920329,true
1748997287273606914,4897001,false
1748997287282557772,2714319,true
1748997287290344946,1919939,true
1748997287312662267,5616114,false
1748997287321315122,3447710,true
1748997287345979333,4819506,false
1748997287394887807,4937696,false
1748997287417230481,5386775,false
1748997287440314036,4706709,false
1748997287478152662,4988725,false
1748997287496400325,5053904,false
1748997287512086046,4645270,false
1748997287519794223,1917596,true
1748997287534163782,5740653,false
1748997287548313767,5509855,false
1748997287578886410,4656666,false
1748997287612080915,4668400,false
1748997287630935889,4743172,false
1748997287647974808,4658713,false
1748997287654683516,1902678,true
1748997287669855768,5534476,false
1748997287678411691,1829878,true
1748997287708582548,5508592,false
1748997287716208851,2008007,true
1748997287724358391,1866031,true
1748997287756992435,5747687,false
1748997287795335854,4908138,false
1748997287803285649,1915719,true
1748997287833987616,5677107,false
1748997287857337808,5562130,false
1748997287863869698,1964270,true
1748997287882531558,4632115,false
1748997287911279143,5526047,false
1748997287927879149,4474520,false
1748997287935397797,2036799,true
1748997287968341093,5788129,false
1748997287977154988,1931679,true
1748997288040051098,5161765,false
1748997288048251809,1909097,true
1748997288097608777,5120262,false
1748997288138792539,5064024,false
1748997288145958555,1995591,true
1748997288154028904,1929622,true
1748997288177288853,5413527,false
1748997288207824628,4813187,false
1748997288241941438,4856378,false
1748997288250854490,2610078,true
1748997288307228773,4887475,false
1748997288331626587,5085824,false
1748997288347968318,4898628,false
1748997288386674963,4797560,false
1748997288401880674,4511780,false
1748997288409428453,1787346,true
1748997288491940013,5122269,false
1748997288520776991,4724968,false
1748997288538774889,4858503,false
1748997288552927086,4676632,false
1748997288608525519,4951960,false
1748997288648328606,4949162,false
1748997288719505840,5893506,false
1748997288734619953,4500693,false
1748997288760128993,5598958,false
1748997288784664544,4968737,false
1748997288792743661,1868940,true
1748997288822459392,5870630,false
1748997288849285021,4842402,false
1748997288858185074,1983547,true
1748997288865300820,1993810,true
1748997288880072460,4641686,false
1748997288886764717,2748821,true
1748997288903874042,4967783,false
1748997288910946107,2162699,true
1748997288918290427,2562804,true
1748997288934396488,5541177,false
1748997288942040794,2667444,true
1748997288963934387,4865934,false
1748997288995617651,4609466,false
1748997289025948294,5175195,false
1748997289033221022,1882592,true
1748997289091292614,5206376,false
1748997289098550239,2025020,true
1748997289106661987,1896082,true
1748997289165269504,4896886,false
1748997289187394771,4908073,false
1748997289204684125,5235047,false
1748997289212954332,2039896,true
1748997289234373434,6061507,false
1748997289258454748,4918560,false
1748997289322872751,4871947,false
1748997289339197148,4653789,false
1748997289379424169,4852651,false
1748997289486087409,4784688,false
